Предмет;Шт.;Комната ;Цвет;Цена, руб;Ссылка;
Кровать;1;Спальня;светло-серый;13 999 ₽;https://www.ikea.com/ru/ru/p/slattum-slattum-karkas-krovati-s-obivkoy-knisa-svetlo-seryy-20446378/;
Матрас;1;Спальня;белый;10 499 ₽;https://www.ikea.com/ru/ru/p/hoevag-hovog-matras-s-pruzhinami-karmannogo-tipa-zhestkiy-temno-seryy-20369332/ ;
Комод;1;Спальня;белый ;9 499 ₽;https://www.ikea.com/ru/ru/p/malm-malm-komod-s-6-yashchikami-belyy-30403585/ ;
Зеркало ;1;Спальня;белый ;2 499 ₽;https://www.ikea.com/ru/ru/p/malm-malm-komod-s-6-yashchikami-belyy-30403585/;
Тумбочка;2;Спальня;белый ;2 499 ₽;https://www.ikea.com/ru/ru/p/malm-malm-komod-s-2-yashchikami-belyy-00368531/ ;
Рамка для фотографий ;2;Спальня;черный;119 ₽;https://www.ikea.com/ru/ru/p/fiskbo-fiskbu-rama-chernyy-10379001/;
Свеча;1;Спальня;серый;299 ₽;https://www.ikea.com/ru/ru/p/hembygd-hembyugt-nearomatich-svecha-formovaya-yaycevidnoy-formy-seryy-50427509/ ;
Ковер ;1;Спальня;темно-крсный;11 999 ₽;https://www.ikea.com/ru/ru/p/tyvelse-tyuvelse-kover-korotkiy-vors-temno-krasnyy-60425326/;
Тарелка для свечи;1;Спальня;черный;49 ₽;https://www.ikea.com/ru/ru/p/glasig-glasig-tarelka-dlya-svechi-chernyy-70483537/;
Напольный светильник ;1;Спальня;черный;3 499 ₽;https://www.ikea.com/ru/ru/p/nymane-nimone-svetilnik-napolnyy-dlya-chteniya-antracit-90433730/ ;
Светодиод ;4;Спальня;не указан;299 ₽;https://www.ikea.com/ru/ru/p/ledare-ledare-svetodiod-gu10-345-lm-reguliruemaya-yarkost-teplyy-50456870/;
Обеденный стол;1;Кухня;черный ;77 995 ₽;https://www.ikea.com/ru/ru/p/ingatorp-ingatorp-sakarias-zakarias-stol-i-4-stula-chernyy-kvilsfors-temno-siniy-siniy-s69428995/ ;
Стул;4;Кухня;черный ;13 999 ₽;https://www.ikea.com/ru/ru/p/sakarias-zakarias-stul-chernyy-kvilsfors-s79417722/;
Подвесной светильник ;1;Кухня;латунь;2 999 ₽;https://www.ikea.com/ru/ru/p/skaftet-skaftet-troynoy-shnur-podves-potolochnyy-pryamougolnik-latun-10493501/;
Чайник;1;Кухня;не указан;2 499 ₽;https://www.ikea.com/ru/ru/p/metallisk-metallisk-chaynik-nerzhaveyushch-stal-20360223/;
;;;;;;
Общая стоимость;;;;152 751 ₽;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
